Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
2016,08,067,4,8,La Plata County               ,211,211,93321238,8,16,2390176,0,0,0,4,33,4734276,211,211,93321238,8,16,2390176,0,0,0,4,33,4734276
2016,08,069,4,8,Larimer County                ,1622,1622,463992158,18,36,5391651,16,61,9729460,115,1813,201700208,1621,1621,463771912,18,36,5391651,16,61,9729460,115,1813,201700208
2016,08,071,4,8,Las Animas County             ,4,4,774444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,073,4,8,Lincoln County                ,10,10,1940000,0,0,0,0,0,0,0,0,0,10,10,1940000,0,0,0,0,0,0,0,0,0
2016,08,075,4,8,Logan County                  ,14,14,2705019,0,0,0,0,0,0,0,0,0,14,14,2705019,0,0,0,0,0,0,0,0,0
2016,08,077,4,8,Mesa County                   ,498,498,115299956,4,8,1056757,0,0,0,2,91,9352294,498,498,115299956,4,8,1056757,0,0,0,2,91,9352294
2016,08,079,4,8,Mineral County                ,14,14,2437800,0,0,0,0,0,0,0,0,0,14,14,2437800,0,0,0,0,0,0,0,0,0
2016,08,081,4,8,Moffat County                 ,10,10,1448000,0,0,0,0,0,0,0,0,0,10,10,1448000,0,0,0,0,0,0,0,0,0
2016,08,083,4,8,Montezuma County              ,23,23,5586011,0,0,0,0,0,0,0,0,0,23,23,5586011,0,0,0,0,0,0,0,0,0
2016,08,085,4,8,Montrose County               ,114,114,19622187,0,0,0,0,0,0,0,0,0,114,114,19622187,0,0,0,0,0,0,0,0,0
2016,08,087,4,8,Morgan County                 ,34,34,7653915,0,0,0,0,0,0,0,0,0,5,5,923915,0,0,0,0,0,0,0,0,0
2016,08,089,4,8,Otero County                  ,3,3,555000,0,0,0,0,0,0,0,0,0,3,3,555000,0,0,0,0,0,0,0,0,0
2016,08,091,4,8,Ouray County                  ,45,45,14708921,0,0,0,1,4,300000,0,0,0,17,17,3347000,0,0,0,1,4,300000,0,0,0
2016,08,093,4,8,Park County                   ,137,137,20265790,0,0,0,0,0,0,0,0,0,136,136,20060444,0,0,0,0,0,0,0,0,0
2016,08,095,4,8,Phillips County               ,1,1,225704,0,0,0,0,0,0,0,0,0,1,1,225704,0,0,0,0,0,0,0,0,0
2016,08,097,4,8,Pitkin County                 ,48,48,122368221,3,6,3746490,0,0,0,0,0,0,32,32,55865141,0,0,0,0,0,0,0,0,0
2016,08,099,4,8,Prowers County                ,6,6,1767934,0,0,0,0,0,0,0,0,0,1,1,310000,0,0,0,0,0,0,0,0,0
2016,08,101,4,8,Pueblo County                 ,265,265,45433035,2,4,504224,0,0,0,2,13,1837193,230,230,39312428,0,0,0,0,0,0,0,0,0
2016,08,103,4,8,Rio Blanco County             ,6,6,1251808,0,0,0,0,0,0,0,0,0,6,6,1251808,0,0,0,0,0,0,0,0,0
2016,08,105,4,8,Rio Grande County             ,5,5,1405664,0,0,0,0,0,0,0,0,0,5,5,1405664,0,0,0,0,0,0,0,0,0
2016,08,107,4,8,Routt County                  ,115,115,65829067,0,0,0,0,0,0,2,48,7890000,115,115,65829067,0,0,0,0,0,0,2,48,7890000
2016,08,109,4,8,Saguache County               ,54,54,3319000,0,0,0,0,0,0,0,0,0,54,54,3319000,0,0,0,0,0,0,0,0,0
2016,08,111,4,8,San Juan County               ,8,8,2558860,0,0,0,0,0,0,0,0,0,8,8,2558860,0,0,0,0,0,0,0,0,0
2016,08,113,4,8,San Miguel County             ,30,30,48964952,1,2,1000000,1,3,3394232,0,0,0,30,30,48964952,1,2,1000000,1,3,3394232,0,0,0
2016,08,115,4,8,Sedgwick County               ,3,3,350505,0,0,0,0,0,0,0,0,0,3,3,350505,0,0,0,0,0,0,0,0,0
2016,08,117,4,8,Summit County                 ,241,241,143106996,0,0,0,0,0,0,2,65,13516665,206,206,132881003,0,0,0,0,0,0,1,26,6800000
2016,08,119,4,8,Teller County                 ,84,84,26250049,0,0,0,0,0,0,2,48,5156336,84,84,26250049,0,0,0,0,0,0,2,48,5156336
2016,08,121,4,8,Washington County             ,6,6,1052600,0,0,0,0,0,0,0,0,0,1,1,223000,0,0,0,0,0,0,0,0,0
2016,08,123,4,8,Weld County                   ,2463,2463,604164305,11,22,3446417,13,41,7470593,45,483,50095131,1916,1916,459209968,10,20,2746947,9,29,3272153,35,425,40268481
2016,08,125,4,8,Yuma County                   ,3,3,468358,0,0,0,0,0,0,0,0,0,3,3,468358,0,0,0,0,0,0,0,0,0
