Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
2020,08,029,4,8,Delta County                  ,57,57,11538952,1,2,276090,2,6,476020,1,8,1175556,57,57,11538952,1,2,276090,2,6,476020,1,8,1175556
2020,08,031,4,8,Denver County                 ,1167,1167,324142283,0,0,0,0,0,0,42,3892,507380807,1167,1167,324142283,0,0,0,0,0,0,42,3892,507380807
2020,08,033,4,8,Dolores County                ,6,6,1465500,0,0,0,0,0,0,0,0,0,6,6,1465500,0,0,0,0,0,0,0,0,0
2020,08,035,4,8,Douglas County                ,2797,2797,884590435,24,48,10208759,22,78,12818097,13,447,63883195,2773,2773,875372669,24,48,10208759,22,78,12818097,13,447,63883195
2020,08,037,4,8,Eagle County                  ,151,151,118132718,8,16,2937439,13,47,13733100,9,189,16833300,143,143,115255173,7,14,2635997,13,47,13733100,8,174,11261872
2020,08,039,4,8,Elbert County                 ,296,296,86670013,0,0,0,0,0,0,0,0,0,296,296,86670013,0,0,0,0,0,0,0,0,0
2020,08,041,4,8,El Paso County                ,4928,4928,1834927574,150,300,30655491,1,4,1007100,34,1587,231933885,4928,4928,1834927574,150,300,30655491,1,4,1007100,34,1587,231933885
2020,08,043,4,8,Fremont County                ,153,153,34373471,1,2,320081,0,0,0,0,0,0,132,132,30226525,1,2,320081,0,0,0,0,0,0
2020,08,045,4,8,Garfield County               ,160,160,51870153,4,8,1629923,1,4,744724,2,162,56581496,113,113,30518414,2,4,829969,0,0,0,1,50,8235000
2020,08,047,4,8,Gilpin County                 ,20,20,5554169,0,0,0,0,0,0,0,0,0,20,20,5554169,0,0,0,0,0,0,0,0,0
2020,08,049,4,8,Grand County                  ,207,207,73285883,1,2,540186,0,0,0,2,25,3704173,108,108,39756437,1,2,540186,0,0,0,1,9,1324811
2020,08,051,4,8,Gunnison County               ,129,129,64394402,4,8,2200000,14,47,6485907,4,44,4560178,127,127,63594402,4,8,2200000,14,47,6485907,4,44,4560178
2020,08,053,4,8,Hinsdale County               ,11,11,4635675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,055,4,8,Huerfano County               ,43,43,7853732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,057,4,8,Jackson County                ,5,5,1023811,0,0,0,0,0,0,0,0,0,5,5,1023811,0,0,0,0,0,0,0,0,0
2020,08,059,4,8,Jefferson County              ,823,823,252833821,14,28,5530844,0,0,0,17,1310,236160034,823,823,252833821,14,28,5530844,0,0,0,17,1310,236160034
2020,08,061,4,8,Kiowa County                  ,5,5,853000,0,0,0,0,0,0,0,0,0,5,5,853000,0,0,0,0,0,0,0,0,0
2020,08,063,4,8,Kit Carson County             ,9,9,2375000,1,2,80000,0,0,0,0,0,0,9,9,2375000,1,2,80000,0,0,0,0,0,0
2020,08,065,4,8,Lake County                   ,48,48,10254292,1,2,92980,1,3,170000,0,0,0,48,48,10254292,1,2,92980,1,3,170000,0,0,0
2020,08,067,4,8,La Plata County               ,209,209,111605360,2,4,863077,0,0,0,1,40,2984393,209,209,111605360,2,4,863077,0,0,0,1,40,2984393
2020,08,069,4,8,Larimer County                ,2190,2190,610973246,5,10,1747880,1,4,692000,29,361,51183592,2190,2190,610973246,5,10,1747880,1,4,692000,29,361,51183592
2020,08,071,4,8,Las Animas County             ,34,34,5581627,0,0,0,0,0,0,0,0,0,5,5,1410500,0,0,0,0,0,0,0,0,0
2020,08,073,4,8,Lincoln County                ,9,9,1326340,0,0,0,0,0,0,0,0,0,4,4,920090,0,0,0,0,0,0,0,0,0
2020,08,075,4,8,Logan County                  ,12,12,2903451,0,0,0,0,0,0,0,0,0,12,12,2903451,0,0,0,0,0,0,0,0,0
2020,08,077,4,8,Mesa County                   ,778,778,125524241,9,18,2184143,0,0,0,8,208,16516270,778,778,125524241,9,18,2184143,0,0,0,8,208,16516270
2020,08,079,4,8,Mineral County                ,18,18,8092263,0,0,0,0,0,0,0,0,0,17,17,7880912,0,0,0,0,0,0,0,0,0
2020,08,081,4,8,Moffat County                 ,17,17,3266529,0,0,0,0,0,0,0,0,0,9,9,1418000,0,0,0,0,0,0,0,0,0
2020,08,083,4,8,Montezuma County              ,25,25,5052912,1,2,400000,0,0,0,0,0,0,5,5,538000,1,2,400000,0,0,0,0,0,0
2020,08,085,4,8,Montrose County               ,251,251,38786289,3,6,827680,2,6,671010,0,0,0,251,251,38786289,3,6,827680,2,6,671010,0,0,0
2020,08,087,4,8,Morgan County                 ,135,135,23691596,0,0,0,3,12,1453155,0,0,0,59,59,12070055,0,0,0,1,4,398155,0,0,0
2020,08,089,4,8,Otero County                  ,6,6,1331501,0,0,0,0,0,0,0,0,0,6,6,1331501,0,0,0,0,0,0,0,0,0
2020,08,091,4,8,Ouray County                  ,61,61,22618532,0,0,0,1,4,920000,1,6,980000,43,43,16309000,0,0,0,0,0,0,0,0,0
2020,08,093,4,8,Park County                   ,162,162,41850694,0,0,0,0,0,0,0,0,0,162,162,41850694,0,0,0,0,0,0,0,0,0
2020,08,095,4,8,Phillips County               ,3,3,542144,0,0,0,0,0,0,0,0,0,3,3,542144,0,0,0,0,0,0,0,0,0
2020,08,097,4,8,Pitkin County                 ,60,60,149868416,0,0,0,0,0,0,1,12,4294282,19,19,18047000,0,0,0,0,0,0,0,0,0
2020,08,099,4,8,Prowers County                ,15,15,3698583,0,0,0,0,0,0,0,0,0,15,15,3698583,0,0,0,0,0,0,0,0,0
2020,08,101,4,8,Pueblo County                 ,579,579,93368755,0,0,0,0,0,0,0,0,0,579,579,93368755,0,0,0,0,0,0,0,0,0
2020,08,103,4,8,Rio Blanco County             ,8,8,2224110,0,0,0,0,0,0,0,0,0,8,8,2224110,0,0,0,0,0,0,0,0,0
2020,08,105,4,8,Rio Grande County             ,31,31,5985199,0,0,0,0,0,0,0,0,0,31,31,5985199,0,0,0,0,0,0,0,0,0
2020,08,107,4,8,Routt County                  ,158,158,100708465,0,0,0,2,7,2233333,6,120,30508280,158,158,100708465,0,0,0,2,7,2233333,6,120,30508280
2020,08,109,4,8,Saguache County               ,54,54,7628348,0,0,0,0,0,0,0,0,0,54,54,7628348,0,0,0,0,0,0,0,0,0
2020,08,111,4,8,San Juan County               ,7,7,1989000,0,0,0,0,0,0,0,0,0,7,7,1989000,0,0,0,0,0,0,0,0,0
2020,08,113,4,8,San Miguel County             ,23,23,80643756,0,0,0,0,0,0,1,11,7150000,18,18,74826481,0,0,0,0,0,0,0,0,0
2020,08,115,4,8,Sedgwick County               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,117,4,8,Summit County                 ,243,243,138964224,2,4,1591424,0,0,0,5,71,17536215,243,243,138964224,2,4,1591424,0,0,0,5,71,17536215
2020,08,119,4,8,Teller County                 ,111,111,35557810,1,2,233000,0,0,0,0,0,0,108,108,35257810,1,2,233000,0,0,0,0,0,0
2020,08,121,4,8,Washington County             ,7,7,1465874,0,0,0,0,0,0,0,0,0,7,7,1465874,0,0,0,0,0,0,0,0,0
2020,08,123,4,8,Weld County                   ,3334,3334,877525995,15,30,5387101,20,73,16160494,43,748,66340806,3000,3000,788784725,15,30,5387101,20,73,16160494,36,698,61242611
2020,08,125,4,8,Yuma County                   ,6,6,1198122,0,0,0,0,0,0,0,0,0,5,5,878122,0,0,0,0,0,0,0,0,0
