Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
2019,08,041,4,8,El Paso County                ,3931,3931,1479124495,49,98,8320689,11,43,6742242,46,1316,178253695,3931,3931,1479124495,49,98,8320689,11,43,6742242,46,1316,178253695
2019,08,043,4,8,Fremont County                ,129,129,28227101,1,2,320081,0,0,0,1,8,1000000,129,129,28227101,1,2,320081,0,0,0,1,8,1000000
2019,08,045,4,8,Garfield County               ,147,147,40732493,7,14,3075849,1,3,558543,5,163,51307940,145,145,40377277,7,14,3075849,1,3,558543,5,163,51307940
2019,08,047,4,8,Gilpin County                 ,32,32,8812497,0,0,0,0,0,0,0,0,0,32,32,8812497,0,0,0,0,0,0,0,0,0
2019,08,049,4,8,Grand County                  ,203,203,71234145,2,4,600497,0,0,0,1,16,2379362,119,119,42784917,2,4,600497,0,0,0,0,0,0
2019,08,051,4,8,Gunnison County               ,110,110,41290481,7,14,2650169,8,27,6773463,5,42,4966194,101,101,30184107,7,14,2650169,8,27,6773463,5,42,4966194
2019,08,053,4,8,Hinsdale County               ,9,9,3792825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,08,055,4,8,Huerfano County               ,37,37,6757862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,08,057,4,8,Jackson County                ,5,5,1772000,0,0,0,0,0,0,0,0,0,1,1,125000,0,0,0,0,0,0,0,0,0
2019,08,059,4,8,Jefferson County              ,787,787,221380981,18,36,6397304,1,4,765696,12,982,134907678,787,787,221380981,18,36,6397304,1,4,765696,12,982,134907678
2019,08,061,4,8,Kiowa County                  ,3,3,471000,0,0,0,0,0,0,0,0,0,3,3,471000,0,0,0,0,0,0,0,0,0
2019,08,063,4,8,Kit Carson County             ,3,3,305000,0,0,0,0,0,0,0,0,0,3,3,305000,0,0,0,0,0,0,0,0,0
2019,08,065,4,8,Lake County                   ,28,28,6464342,0,0,0,3,9,748743,0,0,0,28,28,6464342,0,0,0,3,9,748743,0,0,0
2019,08,067,4,8,La Plata County               ,238,238,105363167,2,4,342343,1,3,324195,1,52,6300242,238,238,105363167,2,4,342343,1,3,324195,1,52,6300242
2019,08,069,4,8,Larimer County                ,1580,1580,438374825,8,16,2110355,9,35,4712989,61,859,117147490,1580,1580,438374825,8,16,2110355,9,35,4712989,61,859,117147490
2019,08,071,4,8,Las Animas County             ,32,32,4776000,0,0,0,0,0,0,2,26,2400000,32,32,4776000,0,0,0,0,0,0,2,26,2400000
2019,08,073,4,8,Lincoln County                ,14,14,2360710,0,0,0,0,0,0,0,0,0,10,10,2035710,0,0,0,0,0,0,0,0,0
2019,08,075,4,8,Logan County                  ,24,24,5971485,0,0,0,0,0,0,0,0,0,24,24,5971485,0,0,0,0,0,0,0,0,0
2019,08,077,4,8,Mesa County                   ,678,678,128038320,7,14,1772923,0,0,0,4,126,9309566,678,678,128038320,7,14,1772923,0,0,0,4,126,9309566
2019,08,079,4,8,Mineral County                ,24,24,4410044,0,0,0,0,0,0,0,0,0,24,24,4410044,0,0,0,0,0,0,0,0,0
2019,08,081,4,8,Moffat County                 ,14,14,2933463,0,0,0,0,0,0,0,0,0,14,14,2933463,0,0,0,0,0,0,0,0,0
2019,08,083,4,8,Montezuma County              ,24,24,4603464,1,2,230000,0,0,0,0,0,0,24,24,4603464,1,2,230000,0,0,0,0,0,0
2019,08,085,4,8,Montrose County               ,221,221,22540315,4,8,1036920,2,8,955300,0,0,0,221,221,22540315,4,8,1036920,2,8,955300,0,0,0
2019,08,087,4,8,Morgan County                 ,142,142,25643138,0,0,0,1,4,735000,0,0,0,72,72,15170720,0,0,0,0,0,0,0,0,0
2019,08,089,4,8,Otero County                  ,6,6,1609000,0,0,0,0,0,0,0,0,0,6,6,1609000,0,0,0,0,0,0,0,0,0
2019,08,091,4,8,Ouray County                  ,51,51,19848242,0,0,0,1,4,920000,1,6,980000,14,14,4645840,0,0,0,0,0,0,0,0,0
2019,08,093,4,8,Park County                   ,174,174,46495664,0,0,0,0,0,0,0,0,0,174,174,46495664,0,0,0,0,0,0,0,0,0
2019,08,095,4,8,Phillips County               ,3,3,708000,1,2,180000,0,0,0,0,0,0,3,3,708000,1,2,180000,0,0,0,0,0,0
2019,08,097,4,8,Pitkin County                 ,39,39,122922029,0,0,0,0,0,0,1,12,4294282,32,32,92444609,0,0,0,0,0,0,0,0,0
2019,08,099,4,8,Prowers County                ,3,3,547835,0,0,0,0,0,0,0,0,0,3,3,547835,0,0,0,0,0,0,0,0,0
2019,08,101,4,8,Pueblo County                 ,484,484,78252607,0,0,0,1,4,509924,0,0,0,484,484,78252607,0,0,0,1,4,509924,0,0,0
2019,08,103,4,8,Rio Blanco County             ,9,9,2813222,0,0,0,0,0,0,0,0,0,9,9,2813222,0,0,0,0,0,0,0,0,0
2019,08,105,4,8,Rio Grande County             ,14,14,2862530,2,4,181462,0,0,0,0,0,0,14,14,2862530,2,4,181462,0,0,0,0,0,0
2019,08,107,4,8,Routt County                  ,161,161,95777375,0,0,0,0,0,0,6,89,12088000,161,161,95777375,0,0,0,0,0,0,6,89,12088000
2019,08,109,4,8,Saguache County               ,68,68,6481620,1,2,145000,0,0,0,0,0,0,68,68,6481620,1,2,145000,0,0,0,0,0,0
2019,08,111,4,8,San Juan County               ,5,5,1023000,1,2,194000,0,0,0,0,0,0,5,5,1023000,1,2,194000,0,0,0,0,0,0
2019,08,113,4,8,San Miguel County             ,34,34,61941779,0,0,0,0,0,0,2,17,16892178,30,30,57287959,0,0,0,0,0,0,1,6,9742178
2019,08,115,4,8,Sedgwick County               ,2,2,404000,0,0,0,0,0,0,0,0,0,2,2,404000,0,0,0,0,0,0,0,0,0
2019,08,117,4,8,Summit County                 ,290,290,192063905,4,8,5149605,0,0,0,5,103,19143756,248,248,179792714,4,8,5149605,0,0,0,4,54,10704870
2019,08,119,4,8,Teller County                 ,120,120,37414036,0,0,0,0,0,0,0,0,0,120,120,37414036,0,0,0,0,0,0,0,0,0
2019,08,121,4,8,Washington County             ,10,10,2381885,0,0,0,0,0,0,0,0,0,10,10,2381885,0,0,0,0,0,0,0,0,0
2019,08,123,4,8,Weld County                   ,3335,3335,897995464,0,0,0,12,44,9609596,53,1008,121883540,3329,3329,896097118,0,0,0,12,44,9609596,53,1008,121883540
2019,08,125,4,8,Yuma County                   ,3,3,574250,1,2,90000,0,0,0,0,0,0,3,3,574250,1,2,90000,0,0,0,0,0,0
