Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
2024,08,031,4,8,Denver County                 ,872,872,269998343,0,0,0,1,4,378160,54,3118,518117741,872,872,269998343,0,0,0,1,4,378160,54,3118,518117741
2024,08,033,4,8,Dolores County                ,10,10,4162343,0,0,0,0,0,0,0,0,0,10,10,4162343,0,0,0,0,0,0,0,0,0
2024,08,035,4,8,Douglas County                ,2120,2120,829976953,4,8,1712205,14,53,9353306,19,950,120468457,2120,2120,829976953,4,8,1712205,14,53,9353306,19,950,120468457
2024,08,037,4,8,Eagle County                  ,142,142,212078666,1,2,384127,5,16,4075915,4,256,85721189,131,131,189133922,1,2,384127,5,16,4075915,4,256,85721189
2024,08,039,4,8,Elbert County                 ,458,458,208717545,0,0,0,0,0,0,0,0,0,458,458,208717545,0,0,0,0,0,0,0,0,0
2024,08,041,4,8,El Paso County                ,2733,2733,1565916233,119,238,56713798,2,6,2509808,22,872,183362655,2733,2733,1565916233,119,238,56713798,2,6,2509808,22,872,183362655
2024,08,043,4,8,Fremont County                ,134,134,35994943,0,0,0,0,0,0,0,0,0,134,134,35994943,0,0,0,0,0,0,0,0,0
2024,08,045,4,8,Garfield County               ,108,108,52805045,1,2,1661068,0,0,0,2,64,14855000,107,107,52386277,1,2,1661068,0,0,0,2,64,14855000
2024,08,047,4,8,Gilpin County                 ,24,24,10937062,0,0,0,0,0,0,0,0,0,24,24,10937062,0,0,0,0,0,0,0,0,0
2024,08,049,4,8,Grand County                  ,212,212,83294551,0,0,0,0,0,0,13,82,11313311,109,109,48410378,0,0,0,0,0,0,11,72,9826209
2024,08,051,4,8,Gunnison County               ,111,111,136993660,0,0,0,0,0,0,3,34,8291484,110,110,136611668,0,0,0,0,0,0,3,34,8291484
2024,08,053,4,8,Hinsdale County               ,16,16,6742800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,055,4,8,Huerfano County               ,50,50,10390538,0,0,0,0,0,0,2,17,2100000,1,1,375000,0,0,0,0,0,0,2,17,2100000
2024,08,057,4,8,Jackson County                ,3,3,1236861,0,0,0,0,0,0,0,0,0,3,3,1236861,0,0,0,0,0,0,0,0,0
2024,08,059,4,8,Jefferson County              ,932,932,354578426,3,6,1710866,0,0,0,20,234,44776561,849,849,332140221,2,4,1268466,0,0,0,10,155,31662084
2024,08,061,4,8,Kiowa County                  ,1,1,416234,0,0,0,0,0,0,0,0,0,1,1,416234,0,0,0,0,0,0,0,0,0
2024,08,063,4,8,Kit Carson County             ,8,8,1666984,0,0,0,0,0,0,0,0,0,6,6,903000,0,0,0,0,0,0,0,0,0
2024,08,065,4,8,Lake County                   ,52,52,11108812,0,0,0,1,3,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,067,4,8,La Plata County               ,173,173,90471594,6,12,1530586,5,16,2214035,1,7,867348,170,170,89409861,6,12,1530586,5,16,2214035,1,7,867348
2024,08,069,4,8,Larimer County                ,1370,1370,513007700,5,10,1511886,1,4,1035442,26,402,78993822,1370,1370,513007700,5,10,1511886,1,4,1035442,26,402,78993822
2024,08,071,4,8,Las Animas County             ,37,37,5412501,0,0,0,0,0,0,0,0,0,2,2,375000,0,0,0,0,0,0,0,0,0
2024,08,073,4,8,Lincoln County                ,8,8,1438719,1,2,317113,0,0,0,0,0,0,3,3,1032469,1,2,317113,0,0,0,0,0,0
2024,08,075,4,8,Logan County                  ,12,12,3179714,0,0,0,0,0,0,0,0,0,12,12,3179714,0,0,0,0,0,0,0,0,0
2024,08,077,4,8,Mesa County                   ,714,714,130493666,4,8,597864,13,52,1726449,10,240,17912999,709,709,129739197,4,8,597864,13,52,1726449,9,235,17313171
2024,08,079,4,8,Mineral County                ,6,6,1704720,0,0,0,0,0,0,0,0,0,3,3,460730,0,0,0,0,0,0,0,0,0
2024,08,081,4,8,Moffat County                 ,16,16,4428280,0,0,0,0,0,0,0,0,0,16,16,4428280,0,0,0,0,0,0,0,0,0
2024,08,083,4,8,Montezuma County              ,22,22,5288763,0,0,0,0,0,0,0,0,0,6,6,1239711,0,0,0,0,0,0,0,0,0
2024,08,085,4,8,Montrose County               ,240,240,39812361,2,4,416320,1,4,338870,1,22,7500000,240,240,39812361,2,4,416320,1,4,338870,1,22,7500000
2024,08,087,4,8,Morgan County                 ,45,45,14694322,3,6,903239,11,40,4616224,2,105,19355511,44,44,14562420,3,6,903239,10,37,4064974,2,105,19355511
2024,08,089,4,8,Otero County                  ,12,12,2597234,2,4,1250000,0,0,0,1,30,8061000,12,12,2597234,2,4,1250000,0,0,0,1,30,8061000
2024,08,091,4,8,Ouray County                  ,74,74,32540507,0,0,0,1,4,597156,2,18,3318763,74,74,32540507,0,0,0,1,4,597156,2,18,3318763
2024,08,093,4,8,Park County                   ,140,140,46408501,0,0,0,0,0,0,0,0,0,140,140,46408501,0,0,0,0,0,0,0,0,0
2024,08,095,4,8,Phillips County               ,3,3,1051470,0,0,0,0,0,0,0,0,0,3,3,1051470,0,0,0,0,0,0,0,0,0
2024,08,097,4,8,Pitkin County                 ,46,46,336368268,0,0,0,3,12,4500000,1,89,215000000,46,46,336368268,0,0,0,3,12,4500000,1,89,215000000
2024,08,099,4,8,Prowers County                ,18,18,6143512,0,0,0,0,0,0,0,0,0,18,18,6143512,0,0,0,0,0,0,0,0,0
2024,08,101,4,8,Pueblo County                 ,269,269,45971768,0,0,0,0,0,0,0,0,0,269,269,45971768,0,0,0,0,0,0,0,0,0
2024,08,103,4,8,Rio Blanco County             ,8,8,2489582,0,0,0,0,0,0,0,0,0,8,8,2489582,0,0,0,0,0,0,0,0,0
2024,08,105,4,8,Rio Grande County             ,45,45,12724591,1,2,106816,0,0,0,0,0,0,45,45,12724591,1,2,106816,0,0,0,0,0,0
2024,08,107,4,8,Routt County                  ,167,167,232867366,6,12,1800000,0,0,0,21,418,198057462,167,167,232867366,6,12,1800000,0,0,0,21,418,198057462
2024,08,109,4,8,Saguache County               ,80,80,13132234,0,0,0,0,0,0,1,24,5600000,80,80,13132234,0,0,0,0,0,0,1,24,5600000
2024,08,111,4,8,San Juan County               ,12,12,4475200,2,4,1119012,1,3,447867,0,0,0,12,12,4475200,2,4,1119012,1,3,447867,0,0,0
2024,08,113,4,8,San Miguel County             ,37,37,113533786,0,0,0,0,0,0,2,20,34179801,37,37,113533786,0,0,0,0,0,0,2,20,34179801
2024,08,115,4,8,Sedgwick County               ,3,3,922000,0,0,0,0,0,0,0,0,0,3,3,922000,0,0,0,0,0,0,0,0,0
2024,08,117,4,8,Summit County                 ,159,159,127445922,0,0,0,0,0,0,4,99,35642790,159,159,127445922,0,0,0,0,0,0,4,99,35642790
2024,08,119,4,8,Teller County                 ,145,145,49870060,0,0,0,0,0,0,0,0,0,145,145,49870060,0,0,0,0,0,0,0,0,0
2024,08,121,4,8,Washington County             ,2,2,500000,0,0,0,0,0,0,0,0,0,2,2,500000,0,0,0,0,0,0,0,0,0
2024,08,123,4,8,Weld County                   ,2866,2866,1134354995,8,16,3723824,12,41,8207809,45,545,98041234,2781,2781,1104671907,6,12,3094608,11,38,7750717,42,527,95807105
2024,08,125,4,8,Yuma County                   ,12,12,2037336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
