Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
2022,08,103,4,8,Rio Blanco County             ,32,32,10236136,0,0,0,0,0,0,0,0,0,32,32,10236136,0,0,0,0,0,0,0,0,0
2022,08,105,4,8,Rio Grande County             ,48,48,10239130,0,0,0,0,0,0,0,0,0,48,48,10239130,0,0,0,0,0,0,0,0,0
2022,08,107,4,8,Routt County                  ,184,184,216453515,0,0,0,1,4,2367000,5,250,34545139,184,184,216453515,0,0,0,1,4,2367000,5,250,34545139
2022,08,109,4,8,Saguache County               ,84,84,13821954,0,0,0,0,0,0,0,0,0,84,84,13821954,0,0,0,0,0,0,0,0,0
2022,08,111,4,8,San Juan County               ,5,5,2916550,0,0,0,0,0,0,0,0,0,5,5,2916550,0,0,0,0,0,0,0,0,0
2022,08,113,4,8,San Miguel County             ,70,70,164733271,0,0,0,0,0,0,0,0,0,70,70,164733271,0,0,0,0,0,0,0,0,0
2022,08,115,4,8,Sedgwick County               ,3,3,1011258,0,0,0,0,0,0,0,0,0,3,3,1011258,0,0,0,0,0,0,0,0,0
2022,08,117,4,8,Summit County                 ,256,256,200329981,5,10,4411539,2,6,5520000,16,128,37984382,122,122,87273748,5,10,4411539,0,0,0,3,48,18000000
2022,08,119,4,8,Teller County                 ,145,145,42675919,1,2,250000,3,12,1654902,0,0,0,145,145,42675919,1,2,250000,3,12,1654902,0,0,0
2022,08,121,4,8,Washington County             ,4,4,352000,0,0,0,0,0,0,0,0,0,4,4,352000,0,0,0,0,0,0,0,0,0
2022,08,123,4,8,Weld County                   ,3229,3229,962079392,104,208,38169532,30,105,20406921,120,2624,378723218,3229,3229,962079392,104,208,38169532,30,105,20406921,120,2624,378723218
2022,08,125,4,8,Yuma County                   ,20,20,3890900,0,0,0,0,0,0,0,0,0,20,20,3890900,0,0,0,0,0,0,0,0,0
